Sequence Number: 120
00>
00>
Printing STS0 CIR
00>
00>
_________________________________
00>
-65,15,
-30,27,
-17,-57,
100,33,
98,61,
64,86,
-71,50,
-1,-18,
-22,27,
0,33,
-36,-22,
6,-43,
37,-76,
-10,15,
33,30,
-18,14,
32,7,
-2,-1,
62,-54,
45,10,
33,-2,
-42,-56,
-59,-50,
1,-23,
3,32,
3,63,
12,43,
-50,15,
-23,-7,
68,-52,
104,21,
34,42,
7,-25,
47,-34,
-25,8,
-29,-13,
1,-16,
-52,0,
9,-29,
-29,16,
32,-29,
-31,-5,
-8,11,
-37,52,
-34,30,
39,55,
55,80,
41,-22,
40,-8,
-48,37,
-37,-7,
-42,-11,
59,-17,
20,-40,
33,9,
-27,-20,
-12,25,
-66,-16,
-29,56,
-38,35,
-55,-42,
7,-34,
18,-9,
-20,104,
-24,78,
32,-48,
29,-29,
11,6,
46,1,
52,-5,
112,6,
76,-12,
34,3,
46,-4,
21,15,
30,-47,
88,-18,
-39,57,
-93,24,
-28,5,
50,-6,
32,19,
-63,15,
-65,34,
-28,58,
-36,26,
21,-20,
-18,-29,
-12,64,
38,52,
52,50,
16,37,
-9,32,
73,16,
52,-15,
-6,-5,
-21,22,
-86,-21,
-58,-3,
-46,9,
15,-16,
-27,-43,
-31,-7,
4,-8,
-31,14,
-49,11,
-46,12,
-38,39,
1,28,
64,-3,
52,-74,
-33,28,
-2,37,
68,24,
75,-36,
28,-35,
-7,-32,
-9,-28,
15,-60,
21,-33,
-33,-32,
25,-9,
24,12,
43,-5,
-5,3,
-6,4,
1,10,
8,22,
3,25,
28,-2,
37,-20,
-12,-33,
27,13,
-32,-5,
69,18,
49,-31,
6,-31,
22,60,
18,2,
39,-31,
78,-31,
-5,-45,
16,33,
2,79,
9,16,
-16,-15,
-44,-13,
80,-17,
50,-16,
19,13,
-79,-36,
-74,-12,
67,-49,
69,13,
61,-46,
32,-28,
25,-22,
-4,20,
71,-8,
78,-17,
43,24,
72,-64,
78,-49,
40,22,
8,19,
26,37,
69,32,
62,-50,
42,11,
-27,-5,
-58,22,
-42,29,
21,8,
38,62,
6,-42,
30,-62,
85,-4,
57,-5,
78,0,
62,18,
46,25,
-19,-27,
66,0,
129,18,
50,-10,
43,1,
53,-6,
72,-34,
49,-27,
-27,-33,
40,-47,
68,-4,
-12,-6,
46,-52,
1,3,
-7,0,
37,33,
1,-52,
-15,-32,
-5,-50,
31,5,
21,-10,
-51,-35,
-40,-10,
-27,-61,
37,-78,
104,5,
70,35,
-20,-22,
-53,48,
10,16,
12,26,
23,44,
56,-23,
38,-47,
-5,31,
-16,73,
20,-8,
5,29,
-27,-33,
1,60,
-19,76,
13,-13,
-5,6,
36,-2,
34,22,
34,-33,
5,-2,
18,17,
57,33,
23,15,
61,30,
-22,1,
-25,9,
-72,15,
-47,52,
-51,15,
-43,-4,
20,14,
-2,18,
0,8,
36,-25,
21,-45,
112,-32,
41,3,
60,-22,
24,30,
72,67,
27,50,
15,7,
18,-66,
-24,-7,
30,59,
59,77,
78,53,
-2,8,
-51,-27,
-42,-27,
-61,85,
-60,11,
-50,0,
21,-25,
26,6,
16,85,
-166,-43,
-1446,-901,
-4083,-4203,
-4506,-6789,
-3236,-6088,
-285,-110,
685,3688,
456,2049,
1037,-75,
2502,-344,
3083,175,
1963,161,
527,284,
-304,1089,
-565,2405,
-788,2604,
-583,1201,
-106,-195,
774,-831,
1053,-670,
1749,-708,
1237,-698,
561,-619,
-48,74,
-185,229,
-136,173,
56,-48,
293,155,
325,373,
414,304,
432,-173,
243,-551,
-235,-479,
-626,-330,
-631,-223,
-224,24,
-103,112,
146,89,
92,-43,
-84,-267,
-173,-290,
-53,-243,
244,-33,
298,176,
48,225,
44,165,
83,-90,
151,-316,
-71,-301,
-222,-193,
-93,88,
-40,161,
9,221,
11,232,
-6,270,
-36,128,
66,82,
280,144,
549,125,
523,-81,
371,-145,
423,-92,
243,7,
101,-38,
-53,-198,
-78,-171,
-53,-10,
-69,71,
-198,126,
-323,134,
-293,114,
-188,17,
-21,-32,
59,-64,
153,59,
296,201,
312,227,
226,338,
60,710,
-221,738,
-256,366,
-199,-37,
-28,-160,
8,-39,
-56,-35,
-123,-78,
-108,-26,
0,-57,
-84,40,
-107,-21,
-61,2,
37,-6,
20,-6,
-33,-19,
-52,44,
-16,42,
34,24,
-54,-45,
-123,27,
-71,-10,
40,-32,
120,12,
59,-52,
17,84,
-54,10,
-27,-68,
-26,-142,
-7,-43,
-55,34,
-84,20,
12,-49,
13,4,
54,45,
-21,54,
-92,76,
-50,-14,
-17,64,
-12,4,
-20,-78,
70,-45,
85,-43,
90,34,
114,45,
140,33,
73,57,
73,46,
-2,83,
-82,70,
-30,86,
68,74,
70,66,
80,49,
67,92,
-69,137,
-73,67,
-50,15,
3,-24,
107,28,
73,32,
8,25,
-36,7,
-32,27,
-33,-9,
-23,56,
43,95,
55,60,
37,26,
-22,49,
112,40,
5,46,
49,44,
-4,38,
-1,20,
-36,40,
-68,71,
-38,52,
